value,datetime,datetime_utc,tz_time,geo_id,geo_name
21279.0,2024-01-04T03:00:00.000+01:00,2024-01-04T02:00:00Z,2024-01-04T02:00:00.000Z,8741,Península
21165.0,2024-01-04T03:15:00.000+01:00,2024-01-04T02:15:00Z,2024-01-04T02:15:00.000Z,8741,Península
21082.0,2024-01-04T03:30:00.000+01:00,2024-01-04T02:30:00Z,2024-01-04T02:30:00.000Z,8741,Península
21027.0,2024-01-04T03:45:00.000+01:00,2024-01-04T02:45:00Z,2024-01-04T02:45:00.000Z,8741,Península
21207.0,2024-01-04T04:00:00.000+01:00,2024-01-04T03:00:00Z,2024-01-04T03:00:00.000Z,8741,Península
21169.0,2024-01-04T04:15:00.000+01:00,2024-01-04T03:15:00Z,2024-01-04T03:15:00.000Z,8741,Península
21165.0,2024-01-04T04:30:00.000+01:00,2024-01-04T03:30:00Z,2024-01-04T03:30:00.000Z,8741,Península
21222.0,2024-01-04T04:45:00.000+01:00,2024-01-04T03:45:00Z,2024-01-04T03:45:00.000Z,8741,Península
21079.0,2024-01-04T05:00:00.000+01:00,2024-01-04T04:00:00Z,2024-01-04T04:00:00.000Z,8741,Península
21392.0,2024-01-04T05:15:00.000+01:00,2024-01-04T04:15:00Z,2024-01-04T04:15:00.000Z,8741,Península
21812.0,2024-01-04T05:30:00.000+01:00,2024-01-04T04:30:00Z,2024-01-04T04:30:00.000Z,8741,Península
22333.0,2024-01-04T05:45:00.000+01:00,2024-01-04T04:45:00Z,2024-01-04T04:45:00.000Z,8741,Península
22663.0,2024-01-04T06:00:00.000+01:00,2024-01-04T05:00:00Z,2024-01-04T05:00:00.000Z,8741,Península
23408.0,2024-01-04T06:15:00.000+01:00,2024-01-04T05:15:00Z,2024-01-04T05:15:00.000Z,8741,Península
24218.0,2024-01-04T06:30:00.000+01:00,2024-01-04T05:30:00Z,2024-01-04T05:30:00.000Z,8741,Península
25055.0,2024-01-04T06:45:00.000+01:00,2024-01-04T05:45:00Z,2024-01-04T05:45:00.000Z,8741,Península
26091.0,2024-01-04T07:00:00.000+01:00,2024-01-04T06:00:00Z,2024-01-04T06:00:00.000Z,8741,Península
26818.0,2024-01-04T07:15:00.000+01:00,2024-01-04T06:15:00Z,2024-01-04T06:15:00.000Z,8741,Península
27496.0,2024-01-04T07:30:00.000+01:00,2024-01-04T06:30:00Z,2024-01-04T06:30:00.000Z,8741,Península
28121.0,2024-01-04T07:45:00.000+01:00,2024-01-04T06:45:00Z,2024-01-04T06:45:00.000Z,8741,Península
29145.0,2024-01-04T08:00:00.000+01:00,2024-01-04T07:00:00Z,2024-01-04T07:00:00.000Z,8741,Península
29647.0,2024-01-04T08:15:00.000+01:00,2024-01-04T07:15:00Z,2024-01-04T07:15:00.000Z,8741,Península
30074.0,2024-01-04T08:30:00.000+01:00,2024-01-04T07:30:00Z,2024-01-04T07:30:00.000Z,8741,Península
30432.0,2024-01-04T08:45:00.000+01:00,2024-01-04T07:45:00Z,2024-01-04T07:45:00.000Z,8741,Península
30842.0,2024-01-04T09:00:00.000+01:00,2024-01-04T08:00:00Z,2024-01-04T08:00:00.000Z,8741,Península
31088.0,2024-01-04T09:15:00.000+01:00,2024-01-04T08:15:00Z,2024-01-04T08:15:00.000Z,8741,Península
31263.0,2024-01-04T09:30:00.000+01:00,2024-01-04T08:30:00Z,2024-01-04T08:30:00.000Z,8741,Península
31371.0,2024-01-04T09:45:00.000+01:00,2024-01-04T08:45:00Z,2024-01-04T08:45:00.000Z,8741,Península
31455.0,2024-01-04T10:00:00.000+01:00,2024-01-04T09:00:00Z,2024-01-04T09:00:00.000Z,8741,Península
